storeId,storeName,addressLine1,addressLine2,City,StateProvince,PostalCode,Country
1038-444,Bike Part Wholesalers,Am Euro Platz 3 (Ecke Wienerbergstrasse),, Vienna,  ,1120, Austria
1042-443,Popular Bike Lines,Leonardo Da Vincilaan 3,, Zaventem,  ,1930, Belgium
1058-441,Mass Market Bikes,110 9th Avenue SW, 8th Floor, Calgary, AB , T2P 0T1, Canada
1054-442,Eastside Cycle Shop,10155 102 St NW Suite 2100 Commerce Place,, Edmonton, AB , T5J 0E3, Canada
1314-410,Volume Bike Sellers,1950 Meadowvale Blvd.,, Mississauga, ON , L5N 8L9, Canada
1342-406,Global Sports Outlet,2000 McGill College Avenue, Suite 450, Montreal, QC , H3A 3J1, Canada
1354-407,Ideal Components,100 Queen Street, Suite 500, Ottawa, ON , K1P 1J9, Canada
1370-440,Liquidation Sales,222 Bay Street, Suite 1201, Toronto, ON , M5J, Canada
1366-439,Sensible Sports,1111 West Georgia Street, Suite 1100, Vancouver, BC , V6E 4S4, Canada
1452-434,Preferable Bikes,"2640 Boulevard Laurier,  Bureau 1500", 15e étage , Quebec City, QC , G1V 5C2, Canada
1464-433,List Price Catalog Company,360 Main Street, Suite 1150, Winnipeg, MB , R3C 3Z4, Canada
1818-438,Eastward Bike Accessories,"No. 999,  Zi Xing Road", Min Hang District, Shanghai , , , China
1854-425,Region Bike Company,2 Grand Gateway, No. 3rd Hong Qiao Road, Shanghai, , , China
1866-426,Gears and Parts Company,"No.5,  Danling Street", Haidian District, Beijing , ,100080, China      
1938-419,Cycle Parts and Accessories,Radlická 608/2,, Prague,  , 150 00, Czech Republic
1950-418,Helpful Sales and Repair Service ,Tuborg Boulevard 12,, Hellerup,  ,2900, Denmark
300-436,Nationwide Supply,Frydenlunds AllÃ© 6,, Vedbaek,  ,2950, Denmark
358-424,Quality Bike Sales,Akadeemia Tee 15B,, Tallinn,  ,12613, Estonia
350-435,Twin Cycles,Raekoja plats 9,, Tartu,  ,51004, Estonia
384-421,Seaside Bike Works,39 Quai du PrÃ©sident Roosevelt,, Issy-les-Moulineaux,  ,92130, France
408-420,Nearest Bike Store,1 Boulevard Vivier Merle,, Lyon,  ,69003, France
410-416,Fast Bike Works,11 Avenue des AmÃ©thystes,, Nantes,  ,44300, France
426-429,Cross-town Parts Shop,1 Rue Marie Curie â€“ BÃ¢t. M26,, Ramonville St. Agne,  ,31520, France
436-422,Second Bike Shop,5 Rue du Parc, BP 305, Oberhausbergen, ,67205, France
456-413,Uncompromising Quality Co,165  bld de Bretagne, Bat Lafont, Lille,,59000, France      
550-417,Helmets and Cycles,31 Parc du Golf - CS 90519,, Aix en Provence Cedex 3,  ,13593, France      
564-428,Unusual Bicycle Company,Konrad-Zuse-StraÃŸe 1,,Unterschleißheim,  ,85716, Germany
624-405,Budget Toy Store,Siemensstraße ,, Bad Homburg,  ,61352, Germany
666-437,Fitness Discount Store,Altrottstraße  31,, Walldorf,  ,69190, Germany
688-414,Plastic Products Manufacturers,Holzmarkt 2a,, Cologne,  ,50676, Germany
690-427,Kids and Adults Cycle Shop,Katharina-Heinroth-Ufer 1,, Berlin,  ,10787, Germany
676-415,Inexpensive Parts Shop,Gasstraße 6a/Gebäude M ,, Hamburg,  ,22761, Germany
718-411,First Supplies,13F Cyberport 2, 100 Cyberport Road, Hong Kong, ,  , Hong Kong
784-408,Online Bike Catalog,Gachibowli,, Hyderabad,  ,500032, India
796-409,Rich Department Store,Embassy Golf Links; Off Intermediate Inner Ring Road,, Bangalore,  ,560071, India
894-432,Jumbo Bikes,"9th Floor, Tower A"," DLF Cyber Greens Centre; DLF Cyber Citi,  Sector 25A", Gurgaon,, 122 002, India
906-431,Fitness Bike Accessories,"4th Floor,  Windsor,  Off CST Road"," Kalina,  Santacruz (East)", Mumbai,  ,400055, India
918-430,Expert Cycle Store,Queens Island,, Belfast,  , BT3 9DT, Ireland
972-423,Major Bicycle Store,Hapnina 2,, Raanana,  ,43107, Israel      
986-455,Metro Manufacturing,Shenkar 13; Gav-Yam Building No. 5,, Herzeliya,  ,46725, Israel      
960-533,The Showroom,Viale Avignone 10,, Rome,  ,144, Italy
956-532,Finer Sales and Service,Corso Orbassano 336,, Turin,  ,10137, Italy
970-501,Primary Bike Distributors,Management center San Felice; Via Rivoltana 13 to 20090 Segrate (MI),, Milan,  , , Italy      
920-522,General Riding Supplies,"Holland Hills Mori Tower RoP 704, 5-11-1"," Toranomon,  Minato-ku", Tokyo ,, 105-0001, Japan
928-445,Rural Cycle Emporium,"Shinagawa Grand Central Tower 2-16-3, Konan", Minato-ku, Tokyo ,, 108-0075, Japan      
794-459,Rewarding Activities Company,Ote Center Building 1-1-3 Otemachi, Chiyoda-ku, Tokyo ,, 100-0004, Japan      
948-490,Standard Bikes,1-18-1 Chofugaoka, Chofu, Tokyo ,, 182-0021, Japan      
908-525,General Bike Corporation,23-29 Rives de Clausen,, Luxembourg,  , L-2165, Luxembourg
896-528,Quick Delivery Service,Lysaker torg 45,, Lysaker,  ,1366, Norway
886-543,Our Sporting Goods Store,Torggata 2-4-6,, Oslo,,181, Norway
844-558,Future Bikes,Sjøgata  2,,Tromsø,  ,9257, Norway
852-517,Original Bicycle Supply Company,Abelsgate 5,, Trondheim,  ,7030, Norway
864-520,Price-Cutter Discount Bikes,Torgbakken 9,, Brevik,  ,3950, Norway
980-466,Wholesale Parts,"Krylatskaya st., 17 bld. 1",, Moscow,,121552, Russia
998-452,Greater Bike Store,1 Marina Boulevard, #22-01 One Marina Boulevard, Singapore, ,18989, Singapore
806-472,Certified Sports Supply,Paseo del Club Deportivo, 1 Pozuelo de Alarcón , Madrid, ,28223, Spain
828-555,Vigorous Exercise Company,Isla de la Cartuja, Planta Baja, Andalusia, ,41092, Spain
812-473,Sundry Sporting Goods,Edificio B3, 6ª Planta, Barcelona, ,8019, Spain      
780-497,Finer Riding Supplies,"Planta Baja, Local A", num 2, Bilbao,,48940, Spain      
782-456,Neighborhood Store,Söder Mälarstrand 43,, Stockholm,  ,11825, Sweden
768-494,Citywide Service and Repair,Richtistrasse 3, Wallisellen, Zurich ,,8304, Switzerland
720-465,Machines & Cycles Store,Mühlemattstrasse  22, Oberwil, Basel ,,4104, Switzerland      
732-461,Urban Sports Emporium,Morgenstrasse 129,, Bern,,3018, Switzerland      
738-509,Sixth Bike Store,av. des Morgines 12, Petit-Lancy, Geneva ,,1213, Switzerland      
750-506,Custom Sales and Service,"8F,  #7 Sung Ren Rd", Shinyi Chiu, Taipei , ,110, Taiwan
708-468,South Bike Company,Thames Valley Park,, Reading,  , RG6 1WG, United Kingdom
678-477,Nuts and Bolts Mfg.,100 Victoria Street,, London,  , SW1E 5JL, United Kingdom
668-544,General Cycle Storehouse,2 Waterhouse Square, 140 Holborn, London, , EC1N2ST, United Kingdom
648-470,Corner Bicycle Supply,3000 Aviator Way,, Manchester,  , M22 5TG, United Kingdom
626-469,Camping and Sports Store,Waverley Gate, 2-4 Waterloo Place, Edinburgh, , EH1 3EG, United Kingdom
618-491,Petroleum Products Distributors,21 Station Road,, Cambridge,  , CB1 2FB, United Kingdom
622-447,Bikes and Motorbikes,Occam Court & Occam Road,Surrey Research Park, Guildford,  , GU2 7, United Kingdom
608-503,Two-Wheeled Transit Company,Manor Park, Twycross, Warwickshire ,, CV9 3QN, United Kingdom
566-518,Courteous Bicycle Specialists,1 Microsoft Way,, Redmond, WA ,98052, United States
562-516,Custom Accessories Company,1 Memorial Drive,, Cambridge, MA ,2142, United States
580-488,Farthest Bike Store,8050 Microsoft Way,, Charlotte, NC ,28273, United States
592-529,Retail Mall,7000 TX-161,, Irving, TX ,75039, United States
552-458,Requisite Part Supply,2900 Great Plains Drive South,, Fargo, ND ,58104, United States
510-514,Bikes for Two,2929 Express Dr. N, Suite 300, Hauppauge, NY ,11788, United States
512-471,Metal Processing Company,1065 La Avenida Street,, Mountain View, CA ,94043, United States
464-513,Odometers and Accessories Company,5404 Wisconsin Ave, Suite 700, Chevy Chase, MD ,20815, United States
466-500,Scratch-Resistant Finishes Company,3210 Porter Drive,, Palo Alto, CA ,94304, United States
490-448,Commuter Bicycle Store,26 West 17th Street, Suite 1002, New York, NY ,10011, United States
